mag,location,name,date,time,lat,lon,ref,img,url
9.5,"Bio-Bio, Chile",Valdivia Earthquake,22-05-1960,19:11,"38,14Â°S","73,41Â°W","Kanamori & Anderson, 1975",http://www.memoriachilena.cl/602/articles-71080_thumbnail.thumb_iTwitter.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19600522191120_30
9.2,Southern Alaska,1964 Great Alaska Earthquake,28-03-1964,3:36,"60,91Â°N","147,34Â°W","Kanamori & Anderson, 1975",https://upload.wikimedia.org/wikipedia/commons/4/4e/AlaskaQuake-FourthAve.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19640328033616_30
9.1,Off the West Coast of Northern Sumatra,Sumatra-Andaman Islands Earthquake,26-12-2004,0:58,"3,30Â°N","95,98Â°E","Duputel et al., 2012",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg/1200px-US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20041226005853450_30
9.1,"Near the East Coast of Honshu, Japan",Tohoku Earthquake,11-03-2011,5:46,"38,30Â°N","142,37Â°E","Duputel et al., 2012",http://www.japansociety.org.uk/wp-content/uploads/2011/03/191102_182750075103717_182740125104712_433276_3988833_o1.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20110311054624120_30
9,"Off the East Coast of the Kamchatka Peninsula, Russia",Kamchatka,04-11-1952,16:58,"52,62Â°N","159,78Â°E","Kanamori, 1976",https://st-listas.20minutos.es/images/2011-03/280963/2928171_640px.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19521104165830_30
8.8,"Offshore Bio-Bio, Chile",Maule Earthquake,27-02-2010,6:34,"36,12Â°S","72,90Â°W","Duputel et al., 2012",http://news.bbc.co.uk/media/images/47395000/jpg/_47395769_008864239-1.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20100227063411530_30
8.8,Near the Coast of Ecuador,1906 Ecuadorâ€“Colombia Earthquake,31-01-1906,15:36,"0,96Â°N","79,37Â°W","Kanamori, 1977",https://img.gestion.pe/files/ec_article_multimedia_gallery/uploads/2017/11/15/5a0c73248a913.jpeg,https://earthquake.usgs.gov/earthquakes/eventpage/official19060131153610_30
8.7,"Rat Islands, Aleutian Islands, Alaska",Rat Islands Earthquake,04-02-1965,5:01,"51,25Â°N","178,72Â°E","Kanamori & Anderson, 1975",https://i.pinimg.com/originals/3d/4b/f5/3d4bf57c211239b8affd914c28071e53.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19650204050122_30
8.6,Eastern Xizang-India border region,"Assam, Tibet",15-08-1950,14:09,"28,36Â°N","96,45Â°E","Kanamori, 1977",http://www.hi-likes.com/cms/fotoalbum/3070.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19500815140934_30
8.6,off the West Coast of Northern Sumatra,,11-04-2012,8:39,"2,33Â°N","93,06Â°E","Duputel et al., 2012",https://i.ytimg.com/vi/dTMGWeBK1Yg/maxresdefault.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20120411083836720_20
